Y X1 X2
0.651 0.5599 0
0.852 0.3716 0
0.852 0.6005 0
0.852 0.3012 0
1.448 2.117 0
2.16 0.3499 0
2.16 2.0959 0
2.34 1.9937 0
2.858 0.4584 0
2.858 1.2461 0
3.561 1.284 0
3.561 0.2592 0
3.561 5.0028 0.5488
3.857 4.3929 0
4.055 3.3535 0.6505
4.263 4.6646 0
4.349 0.657 0.5488
4.437 9.8749 1.4477
4.759 0.5712 0
4.953 1.1972 0
5.155 3.1582 0
5.259 7.846 3.8574
5.474 0.5827 0
5.529 5.9299 3.2544
5.641 1.477 0
5.871 4.2631 0
6.05 1.6653 0.4493
6.172 0.6703 0
6.36 2.8292 1.0513
6.619 11.134 5.0531
6.821 1.3364 0.4493
7.463 1.1972 0
7.463 3.5966 0
7.538 1.0101 0
7.768 0.99 0.4493
8.085 3.7062 0
8.671 4.1371 5.2593
8.935 1.5841 0
9.116 14.2963 6.2339
9.777 2.2255 0.8521
9.974 1.8589 0
10.074 4.2207 0
10.278 1.786 0.6505
10.697 5.8709 2.2479
12.429 4.4371 0.6505
12.807 5.2593 0
13.066 15.3329 14.2963
13.066 3.1899 0.6505
13.33 5.7546 0
13.33 3.3872 0.4493
14.296 2.9743 0
14.585 5.2593 0
14.585 1.6653 1.0513
14.732 8.4149 4.2631
14.88 23.3361 0
15.18 3.5609 0
16.281 2.6379 1.6487
16.281 1.5841 0
16.61 1.716 0
16.61 2.8864 0
17.116 1.5841 0
17.288 7.3891 6.7531
17.288 16.119 4.7588
17.814 7.6141 8.2482
17.814 7.9248 0
17.993 4.306 0.6505
18.541 7.5383 3.7434
19.298 9.025 0.6505
19.298 0.6376 0
19.492 3.2871 0.4493
20.287 6.4237 3.7434
20.905 3.1899 0
21.328 3.3535 1.2461
21.758 6.2965 3.2544
26.576 20.0855 6.7531
28.219 23.1039 11.2459
29.666 7.4633 1.6487
31.187 12.6797 0
31.817 14.154 13.1971
33.448 16.119 1.4477
33.784 4.3492 1.2461
34.124 12.3049 10.2779
35.517 13.5991 1.7507
35.517 14.5851 5.7546
36.234 4.7588 2.2479
37.713 27.1126 10.2779
39.646 7.5383 0
40.854 5.6407 1.3499
53.517 16.6099 11.7048
54.055 4.7588 2.2479
56.261 25.7903 0
62.178 12.5535 0
80.64 16.9455 3.7434
107.77 45.6042 8.7583
170.716 18.3568 11.7048
239.847 17.8143 4.7588
265.072 32.1367 18.1741
